source_kind,source_name,source_path,unit_kind,container_name,sheet_name,slide_number,paragraph_index,table_index,row_index,column_index,cell_label,text,style_json,notes,host_name,host_since
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,1,,,"id,name,host_id,host_name,host_since,host_is_superhost,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,availability_365,minimum_nights,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,2,,,"6422,Nashville Charm,12172,Michele,4/3/09,f,1,t,t,1,District 6,36.17143,-86.7357,172,30,Private room,1,1 bath,1,1,$43.00 ,670,3.63,4.95,4.94,4.96,4.97,4.96,4.92,4.98","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,3,,,"39870,Close to Vanderbilt 2,171184,Evelyn,7/18/10,t,1,t,t,1,District 25,36.12466,-86.81269,186,1,Private room,2,1 bath,1,1,$70.00 ,478,5.05,4.94,4.94,4.92,4.98,4.97,4.93,4.92","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,4,,,"59576,Large Main Suite near Lake *ladies only NS plz,812128,Patricia And John,7/12/11,t,9,t,t,19,District 12,36.1894,-86.59162,178,30,Private room,1,1 bath,1,1,$43.00 ,2,0.08,4.5,5,3.5,5,5,5,5","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,5,,,"72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,7/21/10,t,1,t,t,1,District 18,36.13122,-86.80066,49,2,Entire home/apt,2,1 bath,2,2,$107.00 ,731,4.6,4.92,4.9,4.83,4.98,4.99,4.97,4.9","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,6,,,"258817,ButterflyRoom-queen room, private bath,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.16076,-86.59151,301,30,Private room,2,1 bath,1,2,$39.00 ,97,0.64,4.78,4.81,4.41,4.92,4.91,4.74,4.73","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,7,,,"289242,MorningstarHouse, monthly room- open June 3,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.16296,-86.59113,336,30,Private room,1,1 bath,2,2,$34.00 ,76,0.5,4.71,4.75,4.27,4.83,4.78,4.47,4.69","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,8,,,"329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1758,-86.7995,114,2,Entire home/apt,2,1 bath,1,1,$114.00 ,1391,9.26,4.9,4.91,4.93,4.94,4.95,4.61,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,9,,,"340081,Affordable room in 4 bedroom house.,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.16122,-86.59007,354,30,Private room,2,1 bath,1,3,$34.00 ,81,0.54,4.84,4.77,4.53,4.89,4.96,4.65,4.88","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,10,,,"395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,12/29/11,t,1,t,t,1,District 6,36.16499,-86.75054,331,1,Private room,2,1 bath,1,1,$97.00 ,336,2.29,4.87,4.94,4.93,4.96,4.96,4.69,4.82","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,11,,,"421290,Private Entry Studio Suite/King/Wetbar/DT 5 min,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,38,2,Entire home/apt,2,1 bath,1,1,$110.00 ,1041,7.1,4.95,4.97,4.98,4.97,4.96,4.81,4.94","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,12,,,"430052,Private Vaulted Suite! King,Wet Bar,Bath/5 min DT!,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,41,2,Entire home/apt,2,1 bath,1,1,$98.00 ,1043,7.12,4.95,4.94,4.98,4.97,4.95,4.78,4.92","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,13,,,"431258,5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1758,-86.7995,283,2,Entire home/apt,4,2.5 baths,2,2,$259.00 ,526,3.58,4.88,4.93,4.93,4.96,4.95,4.45,4.87","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,14,,,"513664,Cozy and Convenient in Donelson!,2530554,Lori,6/3/12,f,1,t,t,1,District 14,36.15606,-86.64991,0,2,Private room,4,1 bath,NA,NA,,27,0.2,4.7,4.62,4.58,4.88,4.85,4.52,4.65","{""delimiter"": "","", ""fields"": 30}",,,
csv,data3300_airbnb_data_raw_nashville_8d417a07.csv,data\uploads\data3300_airbnb_data_raw_nashville_8d417a07.csv,line,,,,,,15,,,"632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,47,2,Entire home/apt,2,1.5 baths,1,1,$178.00 ,437,3.02,4.97,4.97,4.95,4.99,4.98,4.77,4.93","{""delimiter"": "","", ""fields"": 30}",,,
