id,name,host_id,host_name,host_since,host_is_superhost,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,availability_365,minimum_nights,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,col_31,col_32,col_33,col_34
6422,nashville charm,12172,Michele,4/3/09,f,1,t,t,1,District 6,36.17143,-86.7357,172,30,Private room,1,1 bath,1,1,$43.00 ,670,3.63,4.95,4.94,4.96,4.97,4.96,4.92,4.98,,,,
39870,close to vanderbilt 2,171184,Evelyn,7/18/10,t,1,t,t,1,District 25,36.12466,-86.81269,186,1,Private room,2,1 bath,1,1,$70.00 ,478,5.05,4.94,4.94,4.92,4.98,4.97,4.93,4.92,,,,
59576,large main suite near lake *ladies only ns plz,812128,Patricia And John,7/12/11,t,9,t,t,19,District 12,36.1894,-86.59162,178,30,Private room,1,1 bath,1,1,$43.00 ,2,0.08,4.5,5,3.5,5,5,5,5,,,,
72906,vandy/belmont/10 mins to broadway - sunny 800 sqft,176117,Richard,7/21/10,t,1,t,t,1,District 18,36.13122,-86.80066,49,2,Entire home/apt,2,1 bath,2,2,$107.00 ,731,4.6,4.92,4.9,4.83,4.98,4.99,4.97,4.9,,,,
258817,butterflyroom-queen room, private bath,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.16076,-86.59151,301,30,Private room,2,1 bath,1,2,$39.00 ,97,0.64,4.78,4.81,4.41,4.92,4.91,4.74,4.73,,,
289242,morningstarhouse, monthly room- open June 3,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.16296,-86.59113,336,30,Private room,1,1 bath,2,2,$34.00 ,76,0.5,4.71,4.75,4.27,4.83,4.78,4.47,4.69,,,
329997,a+ carriage house & courtyard! 5 mins to downtown,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1758,-86.7995,114,2,Entire home/apt,2,1 bath,1,1,$114.00 ,1391,9.26,4.9,4.91,4.93,4.94,4.95,4.61,4.88,,,,
340081,affordable room in 4 bedroom house.,22296,Diana,6/19/09,t,6,t,t,15,District 12,36.16122,-86.59007,354,30,Private room,2,1 bath,1,3,$34.00 ,81,0.54,4.84,4.77,4.53,4.89,4.96,4.65,4.88,,,,
395889,contemporary-mod paradise w/ private bathroom,1547584,Kurt,12/29/11,t,1,t,t,1,District 6,36.16499,-86.75054,331,1,Private room,2,1 bath,1,1,$97.00 ,336,2.29,4.87,4.94,4.93,4.96,4.96,4.69,4.82,,,,
421290,private entry studio suite/king/wetbar/dt 5 min,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,38,2,Entire home/apt,2,1 bath,1,1,$110.00 ,1041,7.1,4.95,4.97,4.98,4.97,4.96,4.81,4.94,,,,
430052,private vaulted suite! king,Wet Bar,Bath/5 min DT!,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,41,2,Entire home/apt,2,1 bath,1,1,$98.00 ,1043,7.12,4.95,4.94,4.98,4.97,4.95,4.78,4.92,,
431258,5 min to dt! 2 bdrm, 2.5 Baths, Hot tub courtyard!,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1758,-86.7995,283,2,Entire home/apt,4,2.5 baths,2,2,$259.00 ,526,3.58,4.88,4.93,4.93,4.96,4.95,4.45,4.87,,
513664,cozy and convenient in donelson!,2530554,Lori,6/3/12,f,1,t,t,1,District 14,36.15606,-86.64991,0,2,Private room,4,1 bath,NA,NA,"",27,0.2,4.7,4.62,4.58,4.88,4.85,4.52,4.65,,,,
632636,admire skyline from the rooftop terrace chic suite,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.1723,-86.7925,47,2,Entire home/apt,2,1.5 baths,1,1,$178.00 ,437,3.02,4.97,4.97,4.95,4.99,4.98,4.77,4.93,,,,
637425,art room french flair,2427763,Dody &Rodney,5/21/12,t,2,t,t,2,District 6,36.19236,-86.743,364,1,Private room,2,1 bath,1,1,$133.00 ,179,1.24,4.83,4.92,4.94,4.91,4.87,4.8,4.73,,,,
645985,serenity haven,1515903,Karen,12/18/11,t,2,t,t,2,District 6,36.18523,-86.71385,220,30,Private room,1,1 bath,1,2,$32.00 ,57,0.4,4.87,4.85,4.85,4.8,4.87,4.73,4.8,,,,
648088,heart of music row private suite midtown nashville,3250769,Robyn,8/13/12,f,1,t,t,1,District 19,36.1447,-86.79014,169,2,Private room,2,1 bath,1,2,$125.00 ,444,3.1,4.87,4.89,4.88,4.96,4.92,4.88,4.87,,,,
674159,a clean, Quiet Suite in a Great Neighborhood,3422455,John,8/30/12,t,2,t,t,2,District 6,36.17393,-86.73894,237,3,Entire home/apt,2,1 bath,1,1,$142.00 ,334,2.39,4.93,4.92,4.96,4.94,4.95,4.88,4.9,,,
681880,luxurious cozy guesthouse,3471162,Tiffany,9/4/12,t,1,t,t,1,District 7,36.21536,-86.71024,143,1,Entire home/apt,2,1 bath,1,1,$96.00 ,752,5.27,4.96,4.97,4.98,4.97,4.98,4.86,4.93,,,,
859206,private entrance suite vandy/belmnt,1924504,Anne,3/14/12,f,1,t,t,1,District 18,36.12999,-86.79959,0,2,Private room,2,1 bath,1,NA,"",128,0.92,4.81,4.87,4.89,4.98,4.97,4.92,4.87,,,,
914787,walk to downtown -pool, Free Parking, Gym + 4 Beds,4910520,Amy,1/30/13,"",15,t,t,25,District 19,36.17539978,-86.7818985,346,1,Entire home/apt,6,1 bath,1,4,$243.00 ,419,3.05,4.75,4.79,4.8,4.91,4.94,4.67,4.68,,
980344,downstairs/midweek only designer home n music city,441439,Angela,3/14/11,f,3,t,t,4,District 24,36.14462,-86.82847,82,2,Private room,2,1 bath,1,1,$250.00 ,0,NA,NA,NA,NA,NA,NA,NA,NA,,,,
1006989,private carriage house,1896384,John And Mike,3/10/12,t,1,t,t,1,District 6,36.17502,-86.73475,82,2,Entire home/apt,3,1 bath,1,1,$88.00 ,609,4.46,4.98,4.98,5,5,4.99,4.94,4.96,,,,
1009550,the fab guest quarters suite,5554006,Jacque,3/20/13,t,1,t,t,1,District 7,36.21239,-86.70439,58,3,Entire home/apt,4,1 bath,2,3,$114.00 ,267,1.96,4.95,4.95,4.93,4.98,5,4.93,4.95,,,,
1209395,music row midtown apartment,6604593,Michael,5/27/13,t,1,t,t,1,District 19,36.14867,-86.79611,305,3,Entire home/apt,2,1 bath,1,1,$118.00 ,238,1.84,4.87,4.84,4.8,4.97,4.95,4.92,4.78,,,,
1300670,valentino's retreat,119023,Dana,5/5/10,t,1,t,t,1,District 10,36.32249,-86.72652,322,2,Entire home/apt,4,1 bath,1,6,$139.00 ,152,1.14,4.99,4.97,4.97,5,4.97,4.99,4.95,,,,
1537921,truly central private cottage,113637,Cynthia,4/25/10,t,1,t,f,1,District 6,36.1676177978516,-86.73709869,224,2,Entire home/apt,2,1 bath,1,1,$146.00 ,312,2.37,4.92,4.98,4.97,4.96,4.96,4.84,4.88,,,,
1546787,cozy guesthouse in 12s neighborhood,6855810,UrbanNashville,6/11/13,t,113,t,t,189,District 18,36.1299171447754,-86.79246521,163,2,Entire home/apt,4,1 bath,0,2,$90.00 ,513,4.07,4.88,4.92,4.87,4.94,4.92,4.94,4.83,,,,
1550764,private entry studio! wet bar,King,Bath,5 mins DT!,1684051,Rick,2/1/12,t,7,t,t,7,District 19,36.17231,-86.79252,36,2,Entire home/apt,2,1 bath,1,1,$123.00 ,837,6.35,4.91,4.96,4.97,4.96,4.95,4.81,4.9,
1557535,ulitimate girls weekend!!! 10 min. to downtown!!!!,8291189,John,8/20/13,f,1,t,t,1,District 7,36.22621,-86.7103,308,3,Entire home/apt,12,2.5 baths,4,8,$636.00 ,87,0.68,4.98,4.97,4.98,5,4.99,5,4.93,,,,
